
##### Averaged #####
# Domain = 40.9452736318
# Free = 1.83084577114
# Bridge Ratio = 0.74061774461
#####

# Time	Domain	Free	Bridge Ratio

3750.0	43	1	0.754166666667
3780.0	43	1	0.755
3810.0	41	1	0.750833333333
3840.0	42	2	0.753333333333
3870.0	43	3	0.760833333333
3900.0	45	2	0.765833333333
3930.0	45	3	0.765
3960.0	46	1	0.7675
3990.0	47	2	0.768333333333
4020.0	43	3	0.761666666667
4050.0	43	0	0.7625
4080.0	40	1	0.7475
4110.0	42	1	0.750833333333
4140.0	41	1	0.750833333333
4170.0	42	0	0.7575
4200.0	42	4	0.755833333333
4230.0	43	2	0.76
4260.0	43	2	0.761666666667
4290.0	43	2	0.760833333333
4320.0	39	1	0.749166666667
4350.0	41	0	0.753333333333
4380.0	43	2	0.755
4410.0	44	2	0.755833333333
4440.0	42	2	0.75
4470.0	44	2	0.753333333333
4500.0	43	4	0.754166666667
4530.0	41	1	0.750833333333
4560.0	41	1	0.751666666667
4590.0	44	2	0.7525
4620.0	41	2	0.748333333333
4650.0	43	1	0.754166666667
4680.0	43	1	0.750833333333
4710.0	43	2	0.75
4740.0	40	3	0.740833333333
4770.0	42	2	0.755
4800.0	42	1	0.750833333333
4830.0	38	1	0.7425
4860.0	38	0	0.738333333333
4890.0	40	0	0.743333333333
4920.0	39	3	0.746666666667
4950.0	39	1	0.745
4980.0	40	1	0.745
5010.0	42	0	0.7525
5040.0	42	0	0.7475
5070.0	43	2	0.746666666667
5100.0	42	3	0.748333333333
5130.0	41	1	0.746666666667
5160.0	40	2	0.740833333333
5190.0	39	3	0.736666666667
5220.0	41	2	0.740833333333
5250.0	41	1	0.7375
5280.0	40	3	0.735
5310.0	38	3	0.735
5340.0	38	3	0.734166666667
5370.0	38	3	0.725
5400.0	38	1	0.731666666667
5430.0	39	0	0.7325
5460.0	40	2	0.735833333333
5490.0	41	2	0.7375
5520.0	40	0	0.7325
5550.0	40	0	0.7375
5580.0	39	0	0.731666666667
5610.0	43	1	0.743333333333
5640.0	42	3	0.744166666667
5670.0	42	2	0.743333333333
5700.0	40	3	0.739166666667
5730.0	40	2	0.741666666667
5760.0	40	3	0.745
5790.0	41	0	0.7475
5820.0	43	0	0.749166666667
5850.0	41	0	0.748333333333
5880.0	39	0	0.745833333333
5910.0	40	3	0.741666666667
5940.0	39	2	0.743333333333
5970.0	39	4	0.741666666667
6000.0	41	3	0.7425
